city	scope1	dataset	year	country	region	s1PerCap	protocol
Xining	807454.483523	PKU	2010	China	East Asia	0.573927021881	6
Xinxiang	617978.935245	PKU	2010	China	East Asia	0.2653582094	6
Xuzhou	5618198.844	PKU	2010	China	East Asia	1.231656	6
Yantai	4531203.03283	PKU	2010	China	East Asia	1.17650039474	6
Yilan	6911264.55	CDP	2013	Taiwan	East Asia	14.6746956938516	3
Yinchuan	2039692.10453	PKU	2010	China	East Asia	1.41115611509	6
Yokohama	12572000	CDP	2013	Japan	East Asia	3.43346185522096	5
Yonkers	982940	CDP	2010	USA	North America	4.8949488812641	1
Zaragoza	1175162.74	CDP	2014	Spain	Europe	1.77756545072817	5
Zhangjiakou	1191132.57013	PKU	2010	China	East Asia	0.606961996548	6
Zhanjiang	1770360.6	PKU	2010	China	East Asia	0.69	6
Zhaozhuang	1607492.69021	PKU	2010	China	East Asia	0.911088	6
Zhengzhou	7303971.18524	PKU	2010	China	East Asia	1.333451	6
Zhuzhou	1132880.32	PKU	2010	China	East Asia	0.52	6
Zibo	3425477.28048	PKU	2010	China	East Asia	1.197912	6
eThekwini	22118090	carbonn	2015	South Africa	Africa	6.42526742546758	1
Örebro	470149	carbonn	2015	Sweden	Europe	3.18911567394504	1
Ürümqi (Wulumqi)	5489128.31649	PKU	2010	China	East Asia	1.915662	6
